id,year,age,sex,educ,hrs1,happy,childs
Respondent ID number,GSS year for this respondent,Age of respondent,Respondents sex,Highest year of school completed,Number of hours worked last week,General happiness,Number of children
1,2024,33,1,16,43,3,2
2,2024,64,1,16,,2,0
3,2024,69,2,14,,2,0
4,2024,19,1,12,20,2,0
5,2024,70,2,13,,3,3
6,2024,53,1,14,,2,2
7,2024,48,2,13,80,2,6
8,2024,30,2,14,,3,1
9,2024,60,2,14,50,1,2
10,2024,25,1,12,,2,0
11,2024,23,2,18,35,2,0
12,2024,68,2,5,,1,1
13,2024,43,2,14,60,2,2
14,2024,37,2,12,40,3,1
15,2024,63,2,12,60,1,3
16,2024,31,2,19,37,1,1
17,2024,64,1,16,55,2,2
18,2024,,,13,,1,
19,2024,63,2,11,35,1,1
20,2024,41,2,8,24,2,2
21,2024,75,2,13,,2,2
22,2024,51,2,16,40,2,2
23,2024,69,1,14,40,2,0
24,2024,48,1,12,,3,1
25,2024,58,1,14,36,2,2
26,2024,71,1,18,15,1,3
27,2024,73,2,16,,2,2
28,2024,74,2,14,,2,3
29,2024,56,2,14,,1,2
30,2024,40,1,14,50,3,3
31,2024,55,2,13,,3,1
32,2024,55,2,18,,2,2
33,2024,31,1,12,89,2,0
34,2024,61,2,18,40,3,0
35,2024,71,2,12,24,2,0
36,2024,70,2,16,,1,
37,2024,60,2,16,,1,1
38,2024,57,2,11,,3,5
39,2024,37,2,16,30,2,3
40,2024,26,1,12,30,3,0
41,2024,59,1,12,46,2,4
42,2024,65,1,12,9,2,3
43,2024,71,2,17,40,2,2
44,2024,41,2,18,,2,1
45,2024,58,1,17,50,2,3
46,2024,79,1,17,,2,2
47,2024,83,2,16,,1,0
48,2024,57,1,16,50,1,2
49,2024,,1,16,,2,2
50,2024,65,1,11,40,2,2
51,2024,74,2,16,,2,2
52,2024,61,2,18,40,2,0
53,2024,24,2,16,55,1,0
54,2024,61,1,6,,3,0
55,2024,56,2,16,,2,0
56,2024,72,2,16,,2,0
57,2024,,2,12,,1,2
58,2024,49,2,18,,2,0
59,2024,78,1,13,,3,2
60,2024,63,2,13,,3,1
61,2024,57,2,18,50,2,0
62,2024,26,1,16,40,2,0
63,2024,89,2,12,,3,2
64,2024,79,1,15,40,1,1
65,2024,22,2,16,40,1,0
66,2024,49,2,17,,1,2
67,2024,52,2,16,40,2,
68,2024,70,1,17,,3,0
69,2024,23,1,15,18,2,0
70,2024,25,2,16,16,2,0
71,2024,41,2,17,,2,2
72,2024,37,1,16,5,3,0
73,2024,32,1,16,50,2,0
74,2024,32,1,16,35,1,0
75,2024,54,1,12,56,2,4
76,2024,56,1,13,5,1,1
77,2024,28,2,16,45,2,0
78,2024,46,2,16,,2,0
79,2024,20,2,14,,3,0
80,2024,31,1,16,20,2,0
81,2024,49,1,12,43,1,0
82,2024,59,2,16,40,2,2
83,2024,65,1,,,2,2
84,2024,74,2,3,,1,5
85,2024,47,2,17,,2,3
86,2024,62,2,14,,2,8
87,2024,37,2,13,30,,3
88,2024,50,2,12,40,2,2
89,2024,34,2,14,20,1,3
90,2024,36,1,16,35,2,0
91,2024,75,2,14,,2,2
92,2024,41,2,13,,3,3
93,2024,36,2,7,,1,3
94,2024,41,1,17,42,1,8
95,2024,79,1,12,,2,2
96,2024,26,1,13,40,2,0
97,2024,55,2,12,,2,1
98,2024,34,1,12,35,2,0
99,2024,54,1,12,40,2,0
100,2024,61,2,15,50,1,0
101,2024,72,2,14,,2,0
102,2024,54,2,16,40,2,0
103,2024,57,2,20,,3,1
104,2024,60,1,18,40,1,0
105,2024,86,2,16,,2,0
106,2024,66,1,12,,2,2
107,2024,55,2,12,35,1,3
108,2024,48,1,12,40,1,2
109,2024,34,2,14,28,2,2
110,2024,32,2,16,36,2,0
111,2024,68,2,15,,3,0
112,2024,35,2,12,,1,0
113,2024,44,2,12,28,2,5
114,2024,48,1,12,,3,2
115,2024,43,1,14,,3,7
116,2024,43,2,13,,2,4
117,2024,45,2,12,,1,6
118,2024,63,2,13,,2,1
119,2024,27,1,12,,3,0
120,2024,37,2,16,31,3,2
121,2024,60,2,12,,2,1
122,2024,22,1,,,,4
123,2024,44,1,10,,3,0
124,2024,24,1,12,40,2,0
125,2024,51,1,13,,3,6
126,2024,39,2,14,25,2,2
127,2024,55,1,20,40,2,1
128,2024,48,2,11,,3,4
129,2024,60,1,16,45,2,0
130,2024,60,2,16,40,3,2
131,2024,70,2,17,,3,1
132,2024,65,1,18,,2,2
133,2024,54,1,13,40,3,0
134,2024,45,2,11,,2,4
135,2024,38,2,12,25,3,5
136,2024,22,1,15,40,2,1
137,2024,76,2,16,,2,1
138,2024,42,1,20,45,1,3
139,2024,89,2,16,,1,2
140,2024,89,2,12,,2,5
